"fips","MSA","year","population"
"09007","HARTFORD, CT",2010,165676
"09007","HARTFORD, CT",2000,155071
"09009","NEW YORK, NY",2010,862477
"09009","NEW YORK, NY",2000,824008
"09011","NEW LONDON, CT",2000,259088
"09011","NEW LONDON, CT",2010,274055
"09013","HARTFORD, CT",2000,136364
"09013","HARTFORD, CT",2010,152691
"09015","RURAL",2010,118428
"09015","RURAL",2000,109091
"10001","DOVER, DE",2000,126697
"10001","DOVER, DE",2010,162310
"10003","PHILADELPHIA, PA",2000,500265
"10003","PHILADELPHIA, PA",2010,538479
"10005","RURAL",2000,156638
"10005","RURAL",2010,197145
"11001","WASHINGTON, DC",2010,601723
"11001","WASHINGTON, DC",2000,572059
"12001","GAINESVILLE, FL",2000,217955
"12001","GAINESVILLE, FL",2010,247336
"12003","RURAL",2010,27115
"12003","RURAL",2000,22259
"12005","PANAMA CITY, FL",2010,168852
"12005","PANAMA CITY, FL",2000,148217
"12007","RURAL",2010,28520
"12007","RURAL",2000,26088
"12009","MELBOURNE, FL",2010,543376
"12009","MELBOURNE, FL",2000,476230
"12011","FT LAUDERDALE, FL",2010,1748066
"12011","FT LAUDERDALE, FL",2000,1623018
"12013","RURAL",2010,14625
"12013","RURAL",2000,13017
"12015","PUNTA GORDA, FL",2010,159978
"12015","PUNTA GORDA, FL",2000,141627
"12017","RURAL",2000,118085
"12017","RURAL",2010,141236
"12019","JACKSONVILLE, FL",2000,140814
"12019","JACKSONVILLE, FL",2010,190865
"12021","NAPLES, FL",2000,251377
"12021","NAPLES, FL",2010,321520
"12023","RURAL",2010,67531
"12023","RURAL",2000,56513
"12027","RURAL",2000,32209
"12027","RURAL",2010,34862
"12029","RURAL",2010,16422
"12029","RURAL",2000,13827
"12031","JACKSONVILLE, FL",2010,864263
"12031","JACKSONVILLE, FL",2000,778879
"12033","PENSACOLA, FL",2000,294410
"12033","PENSACOLA, FL",2010,297619
"12035","DAYTONA BEACH, FL",2000,49832
"12035","DAYTONA BEACH, FL",2010,95696
"12037","RURAL",2010,11549
"12037","RURAL",2000,11057
"12039","TALLAHASSEE, FL",2010,46389
"12039","TALLAHASSEE, FL",2000,45087
"12041","RURAL",2000,14437
"12041","RURAL",2010,16939
"12043","RURAL",2000,10576
"12043","RURAL",2010,12884
"12045","RURAL",2010,15863
"12045","RURAL",2000,13332
"12047","RURAL",2000,13327
"12047","RURAL",2010,14799
"12049","RURAL",2000,26938
"12049","RURAL",2010,27731
"12051","RURAL",2000,36210
"12051","RURAL",2010,39140
"12053","TAMPA, FL",2010,172778
"12053","TAMPA, FL",2000,130802
"12055","RURAL",2010,98786
"12055","RURAL",2000,87366
"12057","TAMPA, FL",2000,998948
"12057","TAMPA, FL",2010,1229226
"12059","RURAL",2000,18564
"12059","RURAL",2010,19927
"12061","RURAL",2000,112947
"12061","RURAL",2010,138028
"12063","RURAL",2000,46755
"12063","RURAL",2010,49746
"12065","RURAL",2010,14761
"12065","RURAL",2000,12902
"12067","RURAL",2000,7022
"12067","RURAL",2010,8870
"12069","ORLANDO, FL",2010,297052
"12069","ORLANDO, FL",2000,210528
"12071","FORT MYERS, FL",2000,440888
"12071","FORT MYERS, FL",2010,618754
"12073","TALLAHASSEE, FL",2000,239452
"12073","TALLAHASSEE, FL",2010,275487
"12075","RURAL",2000,34450
"12075","RURAL",2010,40801
"12077","RURAL",2000,7021
"12077","RURAL",2010,8365
"12079","RURAL",2000,18733
"12079","RURAL",2010,19224
"12081","SARASOTA, FL",2010,322833
"12081","SARASOTA, FL",2000,264002
"12083","OCALA, FL",2010,331298
"12083","OCALA, FL",2000,258916
"12085","STUART, FL",2000,126731
"12085","STUART, FL",2010,146318
"12086","FT LAUDERDALE, FL",2000,2253362
"12086","FT LAUDERDALE, FL",2010,2496435
"12087","RURAL",2010,73090
"12087","RURAL",2000,79589
"12089","JACKSONVILLE, FL",2010,73314
"12089","JACKSONVILLE, FL",2000,57663
"12091","FT WALTON BCH, FL",2010,180822
"12091","FT WALTON BCH, FL",2000,170498
"12093","RURAL",2000,35910
"12093","RURAL",2010,39996
"12095","ORLANDO, FL",2000,896344
"12095","ORLANDO, FL",2010,1145956
"12097","ORLANDO, FL",2000,172493
"12097","ORLANDO, FL",2010,268685
"12099","WEST PALM BCH, FL",2010,1320134
"12099","WEST PALM BCH, FL",2000,1131184
"12101","TAMPA, FL",2010,464697
"12101","TAMPA, FL",2000,344765
"12103","TAMPA, FL",2000,921482
"12103","TAMPA, FL",2010,916542
"12105","LAKELAND, FL",2010,602095
"12105","LAKELAND, FL",2000,483924
"12107","RURAL",2000,70423
"12107","RURAL",2010,74364
"12109","JACKSONVILLE, FL",2000,123135
"12109","JACKSONVILLE, FL",2010,190039
"12111","STUART, FL",2010,277789
"12111","STUART, FL",2000,192695
"12113","PENSACOLA, FL",2010,151372
"12113","PENSACOLA, FL",2000,117743
"12115","SARASOTA, FL",2010,379448
"12115","SARASOTA, FL",2000,325957
"12117","ORLANDO, FL",2000,365196
"12117","ORLANDO, FL",2010,422718
"12119","ORLANDO, FL",2000,53345
"12119","ORLANDO, FL",2010,93420
"12121","RURAL",2010,41551
"12121","RURAL",2000,34844
"12123","RURAL",2010,22570
"12123","RURAL",2000,19256
"12125","RURAL",2000,13442
"12125","RURAL",2010,15535
"12127","DAYTONA BEACH, FL",2010,494593
"12127","DAYTONA BEACH, FL",2000,443343
"12129","RURAL",2010,30776
"12129","RURAL",2000,22863
"12131","RURAL",2000,40601
"12131","RURAL",2010,55043
"12133","RURAL",2010,24896
"12133","RURAL",2000,20973
"13001","RURAL",2000,17419
"13001","RURAL",2010,18236
"13003",NA,2000,7609
"13003",NA,2010,8375
"13005","RURAL",2000,10103
"13005","RURAL",2010,11096
"13007","RURAL",2010,3451
"13007","RURAL",2000,4074
"13009","RURAL",2010,45720
"13009","RURAL",2000,44700
"13011","RURAL",2000,14422
"13011","RURAL",2010,18395
"13013","ATLANTA, GA",2010,69367
"13013","ATLANTA, GA",2000,46144
"13015","ATLANTA, GA",2010,100157
"13015","ATLANTA, GA",2000,76019
"13017","RURAL",2000,17484
"13017","RURAL",2010,17634
"13019","RURAL",2010,19286
"13019","RURAL",2000,16235
"13021","MACON, GA",2000,153887
"13021","MACON, GA",2010,155547
"13023","RURAL",2010,13063
"13023","RURAL",2000,11666
"13025","RURAL",2000,14629
"13025","RURAL",2010,18411
"13027","RURAL",2000,16450
"13027","RURAL",2010,16243
"13029","SAVANNAH, GA",2000,23417
"13029","SAVANNAH, GA",2010,30233
"13031","RURAL",2010,70217
"13031","RURAL",2000,55983
"13033","RURAL",2000,22243
"13033","RURAL",2010,23316
"13035","RURAL",2010,23655
"13035","RURAL",2000,19522
"13037","RURAL",2010,6694
"13037","RURAL",2000,6320
"13039","RURAL",2000,43664
"13039","RURAL",2010,50513
"13043","RURAL",2000,9577
"13043","RURAL",2010,10998
"13045","ATLANTA, GA",2010,110527
"13045","ATLANTA, GA",2000,87268
"13047","CHATTANOOGA, TN",2010,63942
"13047","CHATTANOOGA, TN",2000,53282
"13049","RURAL",2010,12171
